"Player","Position","Team","ETR Full PPR","ETR Half PPR","ETR Std","ETR Superflex Full","ETR Superflex Half","ESPN ADP","Yahoo ADP","id"
"Malachi Fields","WR","NYG","0","0","0","0","0","0","0","ROOKIE malachi fields"
"Malik Benson","WR","LV","0","0","0","0","0","0","0","ROOKIE malik benson"
"Malik Davis","RB","DAL","0","0","0","0","0","0","0","00-0037563"
"Malik Washington","WR","MIA","0","0","0","0","0","0","0","00-0039880"
"Marlin Klein","TE","HOU","0","0","0","0","0","0","0","ROOKIE marlin klein"
"Marquez Valdes-Scantling","WR","DAL","0","0","0","0","0","0","0","00-0034272"
"Marquise Brown","WR","PHI","0","0","0","0","0","0","0","00-0035662"
"Marvin Mims","WR","DEN","0","0","0","0","0","0","0","00-0038976"
"Mason Taylor","TE","NYJ","0","0","0","0","0","0","0","00-0040736"
"Matt Gay","K","LV","0","0","0","0","0","0","0","00-0035269"
"Matthew Hibner","TE","BAL","0","0","0","0","0","0","0","ROOKIE matthew hibner"
"Max Klare","TE","LA","0","0","0","0","0","0","0","ROOKIE max klare"
"MIA DST","DST","MIA","0","0","0","0","0","0","0","MIA DST"
"Michael Mayer","TE","LV","0","0","0","0","0","0","0","00-0039066"
"Michael Penix","QB","ATL","0","0","0","0","0","0","0","00-0039917"
"Mike Gesicki","TE","CIN","0","0","0","0","0","0","0","00-0034829"
"Mike Washington","RB","LV","0","0","0","0","0","1","4","ROOKIE mike washington"
"Mitchell Evans","TE","CAR","0","0","0","0","0","0","0","00-0040187"
"Mitchell Tinsley","WR","CIN","0","0","0","0","0","0","0","00-0038839"
"Mo Alie-Cox","TE","IND","0","0","0","0","0","0","0","00-0033217"
"Najee Harris","RB","NYG","0","0","0","0","0","0","0","00-0036893"
"Nate Boerkircher","TE","JAX","0","0","0","0","0","0","0","ROOKIE nate boerkircher"
"NE DST","DST","NE","0","0","0","0","0","1","1","NE DST"
"Nicholas Singleton","RB","TEN","0","0","0","0","0","0","0","ROOKIE nicholas singleton"
"Nick Folk","K","ATL","0","0","0","0","0","0","1","00-0025565"
"Nick Westbrook-Ikhine","WR","IND","0","0","0","0","0","0","0","00-0036182"
"NO DST","DST","NO","0","0","0","0","0","0","0","NO DST"
"Noah Fant","TE","NO","0","0","0","0","0","0","0","00-0035644"
"Noah Gray","TE","KC","0","0","0","0","0","0","0","00-0036637"
"NYG DST","DST","NYG","0","0","0","0","0","0","1","NYG DST"
"NYJ DST","DST","NYJ","0","0","0","0","0","0","0","NYJ DST"
"Olamide Zaccheaus","WR","ATL","0","0","0","0","0","0","0","00-0035208"
"Ollie Gordon","RB","MIA","0","0","0","0","0","0","0","00-0040198"
"Omar Cooper","WR","NYJ","0","0","0","0","0","0","1","ROOKIE omar cooper"
"Oronde Gadsden","TE","LAC","0","0","0","0","0","0","1","00-0040189"
"Oscar Delp","TE","NO","0","0","0","0","0","0","0","ROOKIE oscar delp"
"Pat Bryant","WR","DEN","0","0","0","0","0","0","0","00-0040134"
"Pat Freiermuth","TE","PIT","0","0","0","0","0","0","2","00-0036894"
"Phil Mafah","RB","DAL","0","0","0","0","0","0","0","00-0040021"
"Pierre Strong","RB","GB","0","0","0","0","0","0","0","00-0038098"
"Rasheen Ali","RB","BAL","0","0","0","0","0","0","0","00-0039796"
"Rashod Bateman","WR","BAL","0","0","0","0","0","0","0","00-0036550"
"Ray Davis","RB","BUF","0","0","0","0","0","0","0","00-0039875"
"Reggie Virgil","WR","ARI","0","0","0","0","0","0","0","ROOKIE reggie virgil"
"Roman Wilson","WR","PIT","0","0","0","0","0","0","0","00-0039739"
"Ryan Fitzgerald","K","CAR","0","0","0","0","0","0","0","00-0040279"
"Ryan Flournoy","WR","DAL","0","0","0","0","0","0","0","00-0039410"
"Salvon Ahmed","RB","CHI","0","0","0","0","0","0","0","00-0036020"
"Sam Roush","TE","CHI","0","0","0","0","0","0","0","ROOKIE sam roush"
"Samaje Perine","RB","CIN","0","0","0","0","0","0","0","00-0033526"
"Savion Williams","WR","GB","0","0","0","0","0","0","0","00-0040009"
"Sean Tucker","RB","TB","0","0","0","0","0","0","0","00-0038951"
"Seth McGowan","RB","IND","0","0","0","0","0","0","0","ROOKIE seth mcgowan"
"Shedeur Sanders","QB","CLE","0","0","0","0","0","0","0","00-0040668"
"Sione Vaki","RB","DET","0","0","0","0","0","0","0","00-0039364"
"Skyler Bell","WR","BUF","0","0","0","0","0","0","0","ROOKIE skyler bell"
"Tahj Brooks","RB","CIN","0","0","0","0","0","0","0","00-0040208"
"Tai Felton","WR","MIN","0","0","0","0","0","0","0","00-0040154"
"Tank Dell","WR","HOU","0","0","0","0","0","1","0","00-0038977"
"Tanner Hudson","TE","CIN","0","0","0","0","0","0","0","00-0034613"
"Tanner Koziol","TE","JAX","0","0","0","0","0","0","0","ROOKIE tanner koziol"
"Taylen Green","QB","CLE","0","0","0","0","0","0","0","ROOKIE taylen green"
"TB DST","DST","TB","0","0","0","0","0","0","0","TB DST"
"Ted Hurst","WR","TB","0","0","0","0","0","0","0","ROOKIE ted hurst"
"Terrance Ferguson","TE","LA","0","0","0","0","0","0","1","00-0040737"
"Tez Johnson","WR","TB","0","0","0","0","0","0","0","00-0040237"
"Theo Johnson","TE","NYG","0","0","0","0","0","0","0","00-0039847"
"Tim Patrick","WR","NYJ","0","0","0","0","0","0","0","00-0033375"
"Tip Reiman","TE","ARI","0","0","0","0","0","0","0","00-0039737"
"TJ Hockenson","TE","MIN","0","0","0","0","0","1","1","00-0035229"
"Tommy Tremble","TE","CAR","0","0","0","0","0","0","0","00-0037005"
"Tory Horton","WR","SEA","0","0","0","0","0","0","0","00-0040648"
"Travis Hunter","WR","JAX","0","0","0","0","0","2","1","00-0040718"
"Tre' Harris","WR","LAC","0","0","0","0","0","0","0","00-0040727"
"Trevor Etienne","RB","CAR","0","0","0","0","0","0","0","00-0040644"
"Trey Smack","K","GB","0","0","0","0","0","0","1","ROOKIE trey smack"
"Treylon Burks","WR","WAS","0","0","0","0","0","0","0","00-0037742"
"Troy Franklin","WR","DEN","0","0","0","0","0","0","0","00-0039868"
"Tua Tagovailoa","QB","ATL","0","0","0","0","0","0","0","00-0036212"
"Tutu Atwell","WR","MIA","0","0","0","0","0","0","0","00-0036849"
"Ty Johnson","RB","BUF","0","0","0","0","0","0","0","00-0035537"
"Tyler Bass","K","BUF","0","0","0","0","0","0","1","00-0036162"
"Tyler Higbee","TE","LA","0","0","0","0","0","0","0","00-0033110"
"Tyquan Thornton","WR","KC","0","0","0","0","0","0","0","00-0038104"
"Tyrone Tracy","RB","NYG","0","0","0","0","0","0","1","00-0039384"
"WAS DST","DST","WAS","0","0","0","0","0","0","0","WAS DST"
"Wil Lutz","K","DEN","0","0","0","0","0","0","1","00-0032569"
"Will Kacmarek","TE","MIA","0","0","0","0","0","0","0","ROOKIE will kacmarek"
"Will Shipley","RB","PHI","0","0","0","0","0","0","0","00-0039746"
"Xavier Hutchinson","WR","HOU","0","0","0","0","0","0","0","00-0038618"
"Xavier Legette","WR","CAR","0","0","0","0","0","0","0","00-0039342"
"Xavier Smith","WR","LA","0","0","0","0","0","0","0","00-0038359"
"Zach Charbonnet","RB","SEA","0","0","0","0","0","1","2","00-0039165"
"Zach Ertz","TE","FA","0","0","0","0","0","0","0","00-0030061"
"Zachariah Branch","WR","ATL","0","0","0","0","0","0","0","ROOKIE zachariah branch"
"Zane Gonzalez","K","MIA","0","0","0","0","0","0","0","00-0033862"
"Zavion Thomas","WR","CHI","0","0","0","0","0","0","0","ROOKIE zavion thomas"
