"Player","Position","Team","ETR Full PPR","ETR Half PPR","ETR Std","ETR Superflex Full","ETR Superflex Half","ESPN ADP","Yahoo ADP","id"
"Rome Odunze","WR","CHI","9","9","13","4","5","11","6","00-0039919"
"Tony Pollard","RB","TEN","9","9","11","6","5","3","4","00-0035261"
"Marvin Harrison","WR","ARI","9","9","11","5","5","6","4","00-0039849"
"Jonathon Brooks","RB","CAR","9","7","9","5","4","3","4","00-0039344"
"Justin Herbert","QB","LAC","9","6","6","37","38","5","4","00-0036355"
"Jayden Reed","WR","GB","8","7","10","3","4","2","1","00-0039146"
"Dak Prescott","QB","DAL","8","5","5","36","37","7","4","00-0033077"
"Caleb Williams","QB","CHI","8","4","5","36","37","6","4","00-0039918"
"Kenneth Gainwell","RB","TB","8","2","2","4","2","2","2","00-0036919"
"Patrick Mahomes","QB","KC","7","3","3","35","35","5","2","00-0033873"
"Tucker Kraft","TE","GB","6","8","13","3","5","4","6","00-0038996"
"Chuba Hubbard","RB","CAR","6","3","5","3","2","2","4","00-0036555"
"Trevor Lawrence","QB","JAX","6","3","3","35","35","5","2","00-0036971"
"Jaxson Dart","QB","NYG","6","2","2","35","35","7","3","00-0040691"
"Matthew Stafford","QB","LA","6","2","2","34","35","6","2","00-0026498"
"Brock Purdy","QB","SF","6","1","2","34","34","4","1","00-0037834"
"Blake Corum","RB","LA","5","6","11","2","3","2","3","00-0039738"
"Jordan Addison","WR","MIN","5","5","9","2","2","2","1","00-0038994"
"Quentin Johnston","WR","LAC","5","4","8","2","2","1","1","00-0038544"
"Chris Godwin","WR","TB","5","3","5","2","2","2","2","00-0033921"
"Josh Downs","WR","IND","5","2","3","1","2","1","1","00-0038997"
"Jordan Love","QB","GB","5","1","1","34","34","1","1","00-0036264"
"Kyler Murray","QB","MIN","5","1","1","34","34","2","1","00-0035228"
"Courtland Sutton","WR","DEN","4","4","8","2","2","6","2","00-0034348"
"Jacory Croskey-Merritt","RB","WAS","4","3","8","2","2","2","2","00-0040242"
"Michael Wilson","WR","ARI","4","2","5","2","2","3","2","00-0038559"
"Harold Fannin","TE","CLE","4","2","5","1","2","5","4","00-0040663"
"Kyle Pitts","TE","ATL","4","2","5","2","1","6","4","00-0036970"
"Michael Pittman","WR","PIT","4","2","1","2","1","4","1","00-0036252"
"Stefon Diggs","WR","WAS","4","1","4","2","1","2","2","00-0031588"
"Bo Nix","QB","DEN","4","1","1","33","33","6","2","00-0039732"
"JK Dobbins","RB","DEN","3","3","8","2","2","3","2","00-0036158"
"Sam LaPorta","TE","DET","3","2","6","2","2","6","5","00-0039065"
"Xavier Worthy","WR","KC","3","2","6","2","1","2","1","00-0039894"
"Makai Lemon","WR","PHI","3","2","4","2","1","1","2","ROOKIE makai lemon"
"Jordan Mason","RB","MIN","2","2","8","2","2","2","2","00-0037525"
"Kyle Monangai","RB","CHI","2","2","5","1","2","2","2","00-0040236"
"Baker Mayfield","QB","TB","2","2","2","30","30","2","1","00-0034855"
"Malik Willis","QB","MIA","2","2","2","28","28","1","1","00-0038128"
"Brandon Aubrey","K","DAL","2","2","2","2","2","5","4","00-0037692"
"Rachaad White","RB","WAS","2","2","1","2","1","1","2","00-0037256"
"Matthew Golden","WR","GB","2","1","6","1","1","3","1","00-0040667"
"KC Concepcion","WR","CLE","2","1","4","1","1","1","1","ROOKIE kc concepcion"
"Jared Goff","QB","DET","2","1","1","32","32","2","1","00-0033106"
"Alec Pierce","WR","IND","1","2","9","1","2","4","3","00-0037664"
"George Kittle","TE","SF","1","1","6","1","1","3","3","00-0033288"
