"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"74",8,"Daniel Bellinger",NYG,"14","2 out of 5 stars","-","-","-"
"75",8,"Luke Farrell",SF,"14","3 out of 5 stars","-","-","-"
"76",8,"Harrison Bryant",PHI,"9","3 out of 5 stars","-","-","-"
"77",8,"Drew Sample",CIN,"10","2 out of 5 stars","-","-","-"
"78",8,"Luke Lachey",HOU,"6","3 out of 5 stars","-","-","-"
"79",8,"Mo Alie-Cox",IND,"11","3 out of 5 stars","-","-","-"
"80",8,"Brock Wright",DET,"8","3 out of 5 stars","-","-","-"
"81",8,"Pharaoh Brown",MIA,"12","3 out of 5 stars","-","-","-"
"82",9,"Drew Ogletree",IND,"11","3 out of 5 stars","-","-","-"
"83",9,"Jared Wiley",KC,"10","3 out of 5 stars","-","-","-"
"84",9,"Jake Briningstool",KC,"10","3 out of 5 stars","-","-","-"
"85",9,"Will Mallory",IND,"11","3 out of 5 stars","-","-","-"
"86",9,"Erick All Jr.",CIN,"10","2 out of 5 stars","-","-","-"
"87",9,"Teagan Quitoriano",ATL,"5","3 out of 5 stars","-","-","-"
"88",9,"Tip Reiman",ARI,"8","5 out of 5 stars","-","-","-"
"89",9,"Durham Smythe",CHI,"5","4 out of 5 stars","-","-","-"
"90",9,"Jaheim Bell",NE,"14","3 out of 5 stars","-","-","-"
"91",9,"Robbie Ouzts",SEA,"8","4 out of 5 stars","-","-","-"
"92",9,"Ian Thomas",LV,"8","2 out of 5 stars","-","-","-"
"93",9,"Charlie Kolar",BAL,"7","3 out of 5 stars","-","-","-"
"94",9,"Charlie Woerner",ATL,"5","3 out of 5 stars","-","-","-"
"95",9,"Lucas Krull",DEN,"12","3 out of 5 stars","-","-","-"
"96",9,"Eric Saubert",SEA,"8","4 out of 5 stars","-","-","-"
"97",9,"Gavin Bartholomew",MIN,"6","3 out of 5 stars","-","-","-"
"98",9,"Moliki Matavao",NO,"11","3 out of 5 stars","-","-","-"
"99",9,"Ross Dwelley",SF,"14","3 out of 5 stars","-","-","-"
"100",9,"Andrew Beck",NYJ,"9","3 out of 5 stars","-","-","-"
"101",10,"Jalin Conyers",MIA,"12","3 out of 5 stars","-","-","-"
"102",10,"Luke Deal",DET,"8","3 out of 5 stars","-","-","-"
"103",10,"Tanner Conner",MIA,"12","3 out of 5 stars","-","-","-"
"104",10,"Brenden Bates",CLE,"9","3 out of 5 stars","-","-","-"
"105",10,"Davis Allen",LAR,"8","4 out of 5 stars","-","-","-"
"106",10,"Kenny Yeboah",DET,"8","3 out of 5 stars","-","-","-"
"107",10,"Jordan Murray",CHI,"5","4 out of 5 stars","-","-","-"
"108",10,"Devin Culp",TB,"9","3 out of 5 stars","-","-","-"
"109",10,"Quintin Morris",JAC,"8","3 out of 5 stars","-","-","-"
"110",10,"Caleb Lohner",DEN,"12","3 out of 5 stars","-","-","-"
"111",10,"Blake Whiteheart",CLE,"9","3 out of 5 stars","-","-","-"
"112",10,"Cam Grandy",CIN,"10","2 out of 5 stars","-","-","-"
"113",10,"Robert Tonyan",KC,"10","3 out of 5 stars","-","-","-"
"114",10,"James Mitchell",CAR,"14","4 out of 5 stars","-","-","-"
"115",10,"Ko Kieft",TB,"9","3 out of 5 stars","-","-","-"
"116",10,"Keleki Latu",BUF,"7","3 out of 5 stars","-","-","-"
"117",10,"Josiah Deguara",ARI,"8","5 out of 5 stars","-","-","-"
"118",10,"Jack Stoll",NO,"11","3 out of 5 stars","-","-","-"
"119",10,"Chris Manhertz",NYG,"14","2 out of 5 stars","-","-","-"
"120",10,"Ben Sims",GB,"5","2 out of 5 stars","-","-","-"
"121",10,"Tanner McLachlan",CIN,"10","2 out of 5 stars","-","-","-"
"122",11,"Brayden Willis",SF,"14","3 out of 5 stars","-","-","-"
"123",11,"Irv Smith Jr.",HOU,"6","3 out of 5 stars","-","-","-"
"124",11,"Jackson Hawes",BUF,"7","3 out of 5 stars","-","-","-"
"125",11,"Shane Zylstra",DET,"8","3 out of 5 stars","-","-","-"
"126",11,"Thomas Fidone II",NYG,"14","2 out of 5 stars","-","-","-"
"127",11,"Zach Davidson",BUF,"7","3 out of 5 stars","-","-","-"
