"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"140",10,"Ezekiel Elliott",FA,"-","-","-","-","-"
"141",10,"Eric Gray",NYG,"14","3 out of 5 stars","-","-","-"
"142",10,"Patrick Ricard",BAL,"7","4 out of 5 stars","-","-","-"
"143",10,"Carlos Washington Jr.",ATL,"5","4 out of 5 stars","-","-","-"
"144",10,"Corey Kiner",SF,"14","3 out of 5 stars","-","-","-"
"145",10,"Ronnie Rivers",LAR,"8","3 out of 5 stars","-","-","-"
"146",10,"Kye Robichaux",DET,"8","2 out of 5 stars","-","-","-"
"147",10,"Troy Hairston II",CLE,"9","4 out of 5 stars","-","-","-"
"148",10,"Cody Schrader",LAR,"8","3 out of 5 stars","-","-","-"
"149",10,"Raheem Blackshear",CAR,"14","3 out of 5 stars","-","-","-"
"150",10,"Kene Nwangwu",NYJ,"9","5 out of 5 stars","-","-","-"
"151",10,"Trayveon Williams",NE,"14","4 out of 5 stars","-","-","-"
"152",10,"Jase McClellan",FA,"-","-","-","-","-"
"153",10,"DeeJay Dallas",ARI,"8","3 out of 5 stars","-","-","-"
"154",10,"Amar Johnson",GB,"5","4 out of 5 stars","-","-","-"
"155",11,"Sione Vaki",DET,"8","2 out of 5 stars","-","-","-"
"156",11,"Israel Abanikanda",GB,"5","4 out of 5 stars","-","-","-"
"157",11,"Darrynton Evans",BUF,"7","4 out of 5 stars","-","-","-"
"158",11,"Elijah Dotson",ATL,"5","4 out of 5 stars","-","-","-"
"159",11,"Keilan Robinson",PHI,"9","3 out of 5 stars","-","-","-"
"160",11,"D.J. Williams",TB,"9","3 out of 5 stars","-","-","-"
"161",11,"Gary Brightwell",CIN,"10","4 out of 5 stars","-","-","-"
"162",11,"Evan Hull",PIT,"5","4 out of 5 stars","-","-","-"
"163",11,"Jakob Johnson",HOU,"6","2 out of 5 stars","-","-","-"
"164",11,"George Holani",SEA,"8","3 out of 5 stars","-","-","-"
"165",11,"Blake Watson",DEN,"12","2 out of 5 stars","-","-","-"
"166",11,"Avery Williams",PHI,"9","3 out of 5 stars","-","-","-"
"167",11,"Reggie Gilliam",BUF,"7","4 out of 5 stars","-","-","-"
"168",11,"Dante Miller",NYG,"14","3 out of 5 stars","-","-","-"
"169",11,"Jaret Patterson",LAC,"12","2 out of 5 stars","-","-","-"
"170",11,"Salvon Ahmed",IND,"11","2 out of 5 stars","-","-","-"
"171",11,"J.J. Taylor",HOU,"6","2 out of 5 stars","-","-","-"
